date,AGG,EEM,IJS,SPY,TLT,UUP,VNQ
2007-03-01,662900,58851900,297500,212828600,2423900,4600,332600
2007-03-02,187600,59927700,236100,162574000,1619800,2400,251600
2007-03-05,264700,54968400,210900,143750400,1505200,1100,300100
2007-03-06,221300,49910400,81400,143333300,837400,400,163300
2007-03-07,296500,31768200,166500,115144900,915400,2800,95000
2007-03-08,351700,36276000,115300,117891600,574700,42200,137100
2007-03-09,309900,26060700,78500,107765100,1534700,700,132200
2007-03-12,224200,25128600,36900,80366900,594400,200,103800
2007-03-13,344300,44023200,97500,190605200,553800,1100,129500
2007-03-14,468700,49965900,83200,231853800,1698100,2000,111900
2007-03-15,201400,30401100,78600,132435900,394900,0,118300
2007-03-16,264100,22194900,36200,121531600,623800,4000,131400
2007-03-19,181300,24143400,63200,96161200,693900,2200,140300
2007-03-20,446400,15362400,53800,82147400,768400,1400,67800
2007-03-21,664300,42041700,90200,152368700,1513400,200,82300
2007-03-22,210200,21576300,61300,118942200,1484300,17500,178900
2007-03-23,226200,16886100,44200,74416800,1679700,4100,222000
2007-03-26,444100,22027500,43100,113787500,763600,3100,469400
2007-03-27,275600,18514500,78500,99864600,619800,200,103300
2007-03-28,217600,22615800,46400,152907900,816900,3400,104800
2007-03-29,223000,23175900,72200,139432700,823000,100,115900
2007-03-30,435200,28557900,56100,128194100,2015100,200,231300
2007-04-02,1065300,18873300,177100,79416400,579600,4100,151100
2007-04-03,390600,24303000,115300,82417800,617000,5200,186400
2007-04-04,181400,20481300,41500,63995200,576900,500,88500
2007-04-05,269600,20437800,32600,46822800,436400,1100,66900
2007-04-09,324200,21373500,46400,50967400,1283900,22700,97800
2007-04-10,314700,15370500,40100,56620000,674400,30500,82500
2007-04-11,344200,28048500,67300,106365700,476200,172000,137800
2007-04-12,274100,23445900,94000,115534400,495100,8900,71600
2007-04-13,291600,11782200,48100,84287000,557800,8300,82700
2007-04-16,396400,20166600,83900,83064600,833600,22600,160900
2007-04-17,368200,26238600,103200,108424100,1254200,23600,95200
2007-04-18,160100,16978800,60300,88345300,450800,18300,75300
2007-04-19,223500,30470700,62700,102947700,1305900,26800,66700
2007-04-20,162100,15983100,46300,124114100,664500,24200,139200
2007-04-23,409600,14394900,58400,77270800,419000,29300,182400
2007-04-24,227500,18733200,35600,114471000,881300,42300,74800
2007-04-25,401800,17789700,45100,108418800,569000,7600,152000
2007-04-26,251900,20426100,51400,88741600,2048400,40800,57800
2007-04-27,169100,24456300,188600,108191100,428700,55800,56500
2007-04-30,298600,27583800,222400,100874100,485700,6300,152300
2007-05-01,1029900,28771800,94600,134342700,487200,2500,171500
2007-05-02,255200,26205600,52600,87129800,443900,21300,90800
2007-05-03,267900,15720900,42000,86569700,427000,13100,48800
2007-05-04,233700,15575700,50100,96409000,262000,90800,87500
2007-05-07,301500,10084800,76100,63461400,210200,52500,164000
2007-05-08,291000,27634200,32300,80584000,488400,147000,81900
2007-05-09,302100,22212600,97200,102070100,634900,9700,76800
2007-05-10,218200,36275100,151700,153617800,519500,15000,103300
2007-05-11,185100,21416100,61100,113408900,1238400,24100,65600
2007-05-14,247300,28344000,65900,108027500,315200,15400,82500
2007-05-15,266100,27392700,169000,180673300,382400,31100,422900
2007-05-16,238800,18247200,58900,114166500,599500,13000,136700
2007-05-17,212200,17952600,52700,101132800,397000,8100,154700
2007-05-18,431900,16459500,117500,99182000,856500,10400,373200
2007-05-21,316500,33299100,158200,174664600,821100,16400,597400
2007-05-22,353000,23904900,78000,82148800,920200,7800,179700
2007-05-23,1081300,41565600,56600,133786600,914500,9900,193000
2007-05-24,339300,52781700,66100,187593000,1598200,6100,208700
2007-05-25,222200,20317500,60500,83309200,754900,10700,158400
2007-05-29,222700,20445900,66800,82020000,1055700,9600,164500
2007-05-30,577600,35050500,65200,129013600,612000,22600,574700
2007-05-31,506000,23850900,75700,114866700,1725900,2400,198100
2007-06-01,942500,24035700,52800,107771700,1694300,12500,128100
2007-06-04,299000,26454900,85200,78008800,877700,8000,222700
2007-06-05,244800,27272400,79300,126917900,1145400,95700,126300
2007-06-06,1001300,40848900,80000,164096800,1129200,54500,74000
2007-06-07,319500,66178500,109900,232414600,5010400,16300,206300
2007-06-08,389700,42430200,68700,175886000,5307600,8400,160900
2007-06-11,261000,22266000,28100,102015600,2043800,9700,172200
2007-06-12,380400,31146300,53000,233898000,9043900,156700,273900
2007-06-13,407100,31558200,410500,193208200,8751200,10200,105100
2007-06-14,230700,22374900,140200,146396500,3384700,12100,71600
2007-06-15,470200,45032700,64300,154030800,5827200,52500,178100
2007-06-18,242200,14039100,75200,88537500,17704600,54900,154200
2007-06-19,300900,20064600,41100,110851700,4620100,2500,175900
2007-06-20,298700,31779600,146500,177119700,3031700,4300,73500
2007-06-21,340000,26637900,124000,205262000,850400,3300,346500
2007-06-22,357900,22471500,75100,204964700,2118900,46800,110800
2007-06-25,305000,29348400,116700,232014400,1323500,9400,381600
2007-06-26,639900,29622000,100900,198445700,2187800,17800,210800
2007-06-27,214500,31400400,158800,213638000,6109300,2400,196400
2007-06-28,293500,22270200,51200,157705000,3612500,5900,117100
2007-06-29,506700,39395100,70700,199701800,1962200,3600,195300
2007-07-02,2726200,30585300,46700,103357000,2811700,15800,217100
2007-07-03,384200,13577400,53000,54048400,1387500,6500,92000
2007-07-05,453000,25942800,46100,89279000,4586800,12100,129100
2007-07-06,281300,31670700,41100,81109000,1437800,500,110800
2007-07-09,232100,28652100,41000,72348100,795400,8800,64600
2007-07-10,712600,40039500,62500,180362600,2258000,4900,119300
2007-07-11,233300,25900200,37600,175607600,1191300,4900,138700
2007-07-12,234100,29064900,68700,133882500,1941200,73000,92000
2007-07-13,247600,24262800,52800,111794300,725900,600,107200
2007-07-16,279500,23917200,171800,98378700,952000,3800,88200
2007-07-17,221300,21789600,96700,126201300,734200,700,123700
2007-07-18,226700,34859700,100600,237887400,1836800,1100,136500
2007-07-19,321200,24539100,82900,145212700,1021000,11200,76900
2007-07-20,316300,48010800,134400,245502500,1459900,600,157100
2007-07-23,255600,35516700,172100,121183900,777900,16800,134300
2007-07-24,208800,53650200,129800,256732400,1351600,18100,128900
2007-07-25,580900,45873600,252200,265214500,881100,6100,262800
2007-07-26,324600,99222600,306100,467592500,2866400,3000,317500
2007-07-27,329000,64008900,349500,422987600,5367800,26500,252000
2007-07-30,389300,50423400,209200,283017500,1803900,5200,197200
2007-07-31,529100,63243600,140000,316976700,2467600,6600,552700
2007-08-01,814500,106336500,289700,467670000,2154700,11200,202500
2007-08-02,566300,46615800,151700,294758400,2079400,900,545600
